Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,7,0.01,0.31,0.37160395771653304
75% Corpus,7,0.01,0.61,0.37883149621028467
75% Corpus,7,0.01,0.9099999999999999,0.3921139630571599
75% Corpus,7,0.01,symmetric,0.3671250982353894
75% Corpus,7,0.31,0.01,0.36491226011662714
75% Corpus,7,0.31,0.31,0.38072646398674187
75% Corpus,7,0.31,0.61,0.3668275364899434
75% Corpus,7,0.31,0.9099999999999999,0.3867548387405008
75% Corpus,7,0.31,symmetric,0.36937782384460754
75% Corpus,7,0.61,0.01,0.3394279853170225
75% Corpus,7,0.61,0.31,0.34988275976794625
75% Corpus,7,0.61,0.61,0.3518306737745572
75% Corpus,7,0.61,0.9099999999999999,0.3572236271081745
75% Corpus,7,0.61,symmetric,0.34981290214497945
75% Corpus,7,0.9099999999999999,0.01,0.34471413358154585
75% Corpus,7,0.9099999999999999,0.31,0.34552413843686625
75% Corpus,7,0.9099999999999999,0.61,0.3367158135366986
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.32730270591931393
75% Corpus,7,0.9099999999999999,symmetric,0.34294797834442897
75% Corpus,7,symmetric,0.01,0.3587115533325536
75% Corpus,7,symmetric,0.31,0.3635934316649959
75% Corpus,7,symmetric,0.61,0.3971071423619647
75% Corpus,7,symmetric,0.9099999999999999,0.4034698027328429
75% Corpus,7,symmetric,symmetric,0.36486916951657716
75% Corpus,7,asymmetric,0.01,0.3484971319331437
75% Corpus,7,asymmetric,0.31,0.36974585088773865
75% Corpus,7,asymmetric,0.61,0.39224254589239427
75% Corpus,7,asymmetric,0.9099999999999999,0.3252087987732164
75% Corpus,7,asymmetric,symmetric,0.3451388100145026
75% Corpus,8,0.01,0.01,0.3796293050217915
75% Corpus,8,0.01,0.31,0.38847787743397044
75% Corpus,8,0.01,0.61,0.37764298662464824
75% Corpus,8,0.01,0.9099999999999999,0.38878677770141046
75% Corpus,8,0.01,symmetric,0.3711238202105187
75% Corpus,8,0.31,0.01,0.3804380797167738
75% Corpus,8,0.31,0.31,0.3527497458070394
75% Corpus,8,0.31,0.61,0.3593297849140305
75% Corpus,8,0.31,0.9099999999999999,0.36542714947768373
75% Corpus,8,0.31,symmetric,0.37198226337001605
75% Corpus,8,0.61,0.01,0.3468236626650004
75% Corpus,8,0.61,0.31,0.346323236883715
75% Corpus,8,0.61,0.61,0.36118416783703944
75% Corpus,8,0.61,0.9099999999999999,0.3563557305350581
75% Corpus,8,0.61,symmetric,0.3430123601624443
75% Corpus,8,0.9099999999999999,0.01,0.34945266803929964
75% Corpus,8,0.9099999999999999,0.31,0.35196504236868864
75% Corpus,8,0.9099999999999999,0.61,0.3448668342474394
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3420793436173659
75% Corpus,8,0.9099999999999999,symmetric,0.35083320523314343
75% Corpus,8,symmetric,0.01,0.38219275305314915
75% Corpus,8,symmetric,0.31,0.3792756601000589
75% Corpus,8,symmetric,0.61,0.3745476206518818
75% Corpus,8,symmetric,0.9099999999999999,0.40930556248122624
75% Corpus,8,symmetric,symmetric,0.388317179647531
